export_id,bundle_id,run_id,trace_id,candidate_id,generation,attack_plan_id,target_family,attack_type,accepted,evaluation_status,combined_score,estimated_time_bits,estimated_memory_bits,estimator_name,public_release_ok,redacted,source_trace
code_based_toy_classic_mceliece_v0:toy_classic_mceliece_support_syndrome_19_10_w2_decode_seed-0,code_based_toy_classic_mceliece_v0,code_based_toy_classic_mceliece,f4c781c70b027bfede925b0c3a308a93148002c293d2b8a13b2645a0d8092ec4,toy_classic_mceliece_support_syndrome_19_10_w2_decode_seed-0,0,toy_classic_mceliece_support_syndrome_19_10_w2_decode_seed,CODE_BASED,decoding_fixture_check,True,ok,-11.3742,7.4919,5.1293,toy-code-based-classic-mceliece-support-syndrome-estimator,True,False,examples/public_runs/code_based_toy_classic_mceliece_v0/trace_public.jsonl
code_based_toy_classic_mceliece_v0:toy_classic_mceliece_syndrome_17_9_w2_decode_seed-1,code_based_toy_classic_mceliece_v0,code_based_toy_classic_mceliece,0faf7a50eaafd0c3d52ebed3628aebccdc3a532c9ff0169166f3f62477e881ab,toy_classic_mceliece_syndrome_17_9_w2_decode_seed-1,0,toy_classic_mceliece_syndrome_17_9_w2_decode_seed,CODE_BASED,decoding_fixture_check,True,ok,-14.8762,11.0875,4.7549,toy-code-based-classic-mceliece-syndrome-estimator,True,False,examples/public_runs/code_based_toy_classic_mceliece_v0/trace_public.jsonl
code_based_toy_hqc_v0:toy_hqc_circulant_erasure_16_8_w3_decode_seed-0,code_based_toy_hqc_v0,code_based_toy_hqc,c57f831d907cd3335606bf3a5cdd3bbce0cb810c23d655ddff6d809df2d59b68,toy_hqc_circulant_erasure_16_8_w3_decode_seed-0,0,toy_hqc_circulant_erasure_16_8_w3_decode_seed,CODE_BASED,decoding_fixture_check,True,ok,-12.768,8.9069,5.0444,toy-code-based-circulant-erasure-decoder-estimator,True,False,examples/public_runs/code_based_toy_hqc_v0/trace_public.jsonl
code_based_toy_hqc_v0:toy_hqc_circulant_syndrome_16_8_w2_decode_seed-1,code_based_toy_hqc_v0,code_based_toy_hqc,5f2035b51afdf8e268f3c112d8acfa89bb5203c825e0b0eafce35c661106902a,toy_hqc_circulant_syndrome_16_8_w2_decode_seed-1,0,toy_hqc_circulant_syndrome_16_8_w2_decode_seed,CODE_BASED,decoding_fixture_check,True,ok,-14.682,10.9069,4.7004,toy-code-based-circulant-syndrome-decoder-estimator,True,False,examples/public_runs/code_based_toy_hqc_v0/trace_public.jsonl
code_based_toy_hqc_v0:toy_hqc_erasure_syndrome_12_6_w2_decode_seed-2,code_based_toy_hqc_v0,code_based_toy_hqc,836b7cf6f2cfc6b10b421a7b988b6056729d5efd6cddc936c01ef6c63b5480bc,toy_hqc_erasure_syndrome_12_6_w2_decode_seed-2,0,toy_hqc_erasure_syndrome_12_6_w2_decode_seed,CODE_BASED,decoding_fixture_check,True,ok,-9.8124,6.1699,4.1699,toy-code-based-erasure-syndrome-decoder-estimator,True,False,examples/public_runs/code_based_toy_hqc_v0/trace_public.jsonl
code_based_toy_hqc_v0:toy_hqc_parity_check_15_7_w2_decode_seed-3,code_based_toy_hqc_v0,code_based_toy_hqc,2a820436e52deda781d8b0a26d1eae3c2aba4b81aa116407797eb3ce639d2692,toy_hqc_parity_check_15_7_w2_decode_seed-3,0,toy_hqc_parity_check_15_7_w2_decode_seed,CODE_BASED,decoding_fixture_check,True,ok,-14.4752,10.7142,4.6439,toy-code-based-parity-check-decoder-estimator,True,False,examples/public_runs/code_based_toy_hqc_v0/trace_public.jsonl
code_based_toy_hqc_v0:toy_hqc_repetition_21_7_w3_decode_seed-4,code_based_toy_hqc_v0,code_based_toy_hqc,d43fd9eb8d3cbcf4f3702cadb7ec06fcea789f591ef308aa6e4d6d9636126782,toy_hqc_repetition_21_7_w3_decode_seed-4,0,toy_hqc_repetition_21_7_w3_decode_seed,CODE_BASED,decoding_fixture_check,True,ok,-8.1942,4.3923,4.8074,toy-code-based-repetition-decoder-estimator,True,False,examples/public_runs/code_based_toy_hqc_v0/trace_public.jsonl
code_based_toy_hqc_v0:toy_hqc_weighted_repetition_25_5_w4_decode_seed-5,code_based_toy_hqc_v0,code_based_toy_hqc,eb3bf2a7574ee5b0803e349395d5274be0e1a6fd61f24b3fcd4c496f6130bdba,toy_hqc_weighted_repetition_25_5_w4_decode_seed-5,0,toy_hqc_weighted_repetition_25_5_w4_decode_seed,CODE_BASED,decoding_fixture_check,True,ok,-10.505,6.6439,5.0444,toy-code-based-weighted-repetition-decoder-estimator,True,False,examples/public_runs/code_based_toy_hqc_v0/trace_public.jsonl
code_based_toy_isd_v0:toy_qc_syndrome_21_12_w2_rotation_seed-0,code_based_toy_isd_v0,code_based_toy_isd,74bfa2c866d2d852eb48dc5cd6215f53b2ac8654225382a11563c3ce7e1a4af4,toy_qc_syndrome_21_12_w2_rotation_seed-0,0,toy_qc_syndrome_21_12_w2_rotation_seed,CODE_BASED,information_set_decoding,True,ok,-12.4827,8.7846,4.3923,toy-code-based-isd-estimator,True,False,examples/public_runs/code_based_toy_isd_v0/trace_public.jsonl
code_based_toy_isd_v0:toy_syndrome_15_7_w2_prange_seed-1,code_based_toy_isd_v0,code_based_toy_isd,05ce3bfaec185f6a84770fc97ab7b340e90a5ee977924270ba48044d3a0a133b,toy_syndrome_15_7_w2_prange_seed-1,0,toy_syndrome_15_7_w2_prange_seed,CODE_BASED,information_set_decoding,True,ok,-11.3717,7.3987,5.4919,toy-code-based-isd-estimator,True,False,examples/public_runs/code_based_toy_isd_v0/trace_public.jsonl
